timestamp,usd_rate,interest_rate,usd_pct_change,interest_diff
2001-09-07,4.26230001449585,27.25,0.0,0.0
2001-09-10,4.26230001449585,27.25,0.0,0.0
2001-09-11,4.26230001449585,27.25,0.0,0.0
2001-09-12,4.26230001449585,27.25,0.0,0.0
2001-09-13,4.25,27.25,-0.002885769292170437,0.0
2001-09-14,4.25,27.25,0.0,0.0
2001-09-17,4.25600004196167,27.25,0.0014117745792163738,0.0
2001-09-18,4.272299766540527,27.25,0.0038298224666710734,0.0
2001-09-19,4.25600004196167,27.25,-0.003815210886303544,0.0
2001-09-20,4.25600004196167,27.25,0.0,0.0
2001-09-21,4.25600004196167,27.25,0.0,0.0
2001-09-24,4.25,27.25,-0.0014097842816055417,0.0
2001-09-25,4.25600004196167,27.25,0.0014117745792163738,0.0
2001-09-26,4.25,27.25,-0.0014097842816055417,0.0
2001-09-27,4.26230001449585,27.25,0.0028941210578470322,0.0
2001-09-28,4.26230001449585,27.25,0.0,0.0
2001-10-02,4.25600004196167,27.25,-0.0014780687686821725,0.0
2001-10-05,4.26230001449585,27.25,0.001480256689865067,0.0
2001-10-09,4.25600004196167,27.25,-0.0014780687686821725,0.0
2001-10-10,4.25,27.25,-0.0014097842816055417,0.0
2001-10-16,4.260000228881836,27.25,0.0023529950310201553,0.0
2001-10-17,4.25600004196167,27.25,-0.0009390109636722155,0.0
2001-10-18,4.259799957275391,27.25,0.0008928372359624515,0.0
2001-10-19,4.263500213623047,27.25,0.0008686455666389037,0.0
2001-10-22,4.25,27.25,-0.0031664625182638018,0.0
2001-10-26,4.25,27.25,0.0,0.0
2001-10-29,4.272299766540527,27.25,0.005247003891888813,0.0
2001-10-30,4.25,27.25,-0.005219616543570504,0.0
2001-10-31,4.263000011444092,27.25,0.003058826222139155,0.0
2001-11-06,4.26230001449585,27.25,-0.0001642028961676978,0.0
2001-11-07,4.267300128936768,27.25,0.0011731024151075964,0.0
2001-11-09,4.26230001449585,27.25,-0.0011717278583270874,0.0
2001-11-12,4.26230001449585,27.25,0.0,0.0
2001-11-13,4.267300128936768,27.25,0.0011731024151075964,0.0
2001-11-14,4.263500213623047,27.25,-0.0008904729451657545,0.0
2001-11-20,4.263500213623047,27.25,0.0,0.0
2001-11-21,4.263500213623047,27.25,0.0,0.0
2001-11-22,4.267300128936768,27.25,0.0008912665939546649,0.0
2001-11-23,4.264500141143799,27.25,-0.0006561497219241819,0.0
2001-11-26,4.272799968719482,27.25,0.0019462603590059135,0.0
2001-11-29,4.263500213623047,27.25,-0.0021765013959271773,0.0
2001-12-04,4.263500213623047,27.25,0.0,0.0
2001-12-05,4.269800186157227,27.25,0.0014776526840667437,0.0
2001-12-10,4.263500213623047,27.25,-0.00147547244824342,0.0
2001-12-12,4.269800186157227,27.25,0.0014776526840667437,0.0
2001-12-14,4.534999847412109,27.25,0.062110555457528305,0.0
