datetime,open,high,low,close,volume,res
2021-09-08 10:00:00,8.97541686,9.14864565,8.82925452,9.14864565,2815014,1d
2021-09-09 10:00:00,9.14864565,9.14864565,8.95917611,9.00789671,1382037,1d
2021-09-12 10:00:00,9.00789671,9.09451111,8.93210966,8.97541686,440536,1d
2021-09-13 10:00:00,8.97541686,9.19195285,8.93210966,9.14864565,6022298,1d
2021-09-14 10:00:00,9.14864565,9.33811464,9.14864565,9.20277965,11027574,1d
2021-09-15 10:00:00,9.20277965,9.2298461,8.93210966,9.20277965,3176486,1d
2021-09-16 10:00:00,9.20277965,9.22443379,8.93752306,8.93752306,42939704,1d
2021-09-19 10:00:00,8.93752306,9.03496479,8.12551309,8.28791508,6452107,1d
2021-09-20 10:00:00,8.28791508,8.44490368,7.8602565,8.03348529,4318363,1d
2021-09-21 10:00:00,8.03348529,8.12009969,7.7411617,8.03889869,2765786,1d
2021-09-22 10:00:00,8.03889869,8.28250168,7.9035637,7.99559149,1205227,1d
2021-09-23 10:00:00,7.99559149,8.11468629,7.9306307,8.04431209,1572172,1d
2021-09-26 10:00:00,8.04431209,8.17423369,8.01183169,8.07137909,688853,1d
2021-09-27 10:00:00,8.07137909,8.10385949,7.53003911,7.68161431,3923403,1d
2021-09-28 10:00:00,7.68161431,7.7736421,7.26478252,7.44342471,2834907,1d
2021-09-29 10:00:00,7.44342471,7.62748031,7.30808972,7.62748031,2540039,1d
2021-09-30 10:00:00,7.62748031,7.6924411,7.51921231,7.6924411,2276015,1d
2021-10-03 10:00:00,7.6924411,7.7844689,7.47590511,7.51921231,577465,1d
2021-10-04 10:00:00,7.51921231,7.7357483,7.44342471,7.7140947,2024001,1d
2021-10-05 10:00:00,7.7140947,8.06596569,7.47049171,8.01183169,3302414,1d
2021-10-06 10:00:00,8.01183169,8.29874188,8.00641829,8.08761929,3864697,1d
2021-10-10 10:00:00,8.08761929,8.17423369,8.01183169,8.17423369,3053271,1d
2021-10-11 10:00:00,8.17423369,8.54775827,8.17423369,8.29874188,4539356,1d
2021-10-12 10:00:00,8.29874188,8.43407688,8.25543468,8.34204908,1405776,1d
2021-10-13 10:00:00,8.34204908,8.92128286,8.30956868,8.87797566,10207980,1d
2021-10-14 10:00:00,8.87797566,9.09451111,8.66143967,8.87256172,2197872,1d
2021-10-17 10:00:00,8.87256172,9.08909879,8.66685307,9.02955085,4349196,1d
2021-10-18 10:00:00,9.02955085,9.17571319,8.98624366,9.04037819,11752346,1d
2021-10-19 10:00:00,9.04037819,9.14864565,8.80218806,8.92669626,3803519,1d
2021-10-20 10:00:00,8.92669626,9.11616525,8.63978607,8.66143967,3134276,1d
2021-10-24 10:00:00,8.66143967,8.79677466,8.07137909,8.12009969,4772717,1d
2021-10-25 10:00:00,8.12009969,8.22836768,7.51379891,7.58958651,4194903,1d
2021-10-26 10:00:00,7.58958651,8.28250168,7.58958651,8.10385949,3396730,1d
2021-10-27 10:00:00,8.10385949,8.28250168,7.95769769,8.28250168,2043580,1d
