datetime,DXY,SP500
2020-09-25,94.58000183105469,3298.4599609375
2020-09-28,94.26000213623047,3351.60009765625
2020-09-29,93.88999938964844,3335.469970703125
2020-09-30,93.88999938964844,3363.0
2020-10-01,93.70999908447266,3380.800048828125
2020-10-02,93.83999633789062,3348.419921875
2020-10-05,93.51000213623047,3408.60009765625
2020-10-06,93.83000183105469,3360.969970703125
2020-10-07,93.62999725341797,3419.43994140625
2020-10-08,93.61000061035156,3446.830078125
2020-10-09,93.05999755859375,3477.139892578125
2020-10-12,93.06999969482422,3534.219970703125
2020-10-13,93.52999877929688,3511.929931640625
2020-10-14,93.37999725341797,3488.669921875
2020-10-15,93.86000061035156,3483.340087890625
2020-10-16,93.68000030517578,3483.81005859375
2020-10-19,93.43000030517578,3426.919921875
2020-10-20,93.06999969482422,3443.1201171875
2020-10-21,92.61000061035156,3435.56005859375
2020-10-22,92.94999694824219,3453.489990234375
2020-10-23,92.7699966430664,3465.389892578125
2020-10-26,93.05000305175781,3400.969970703125
2020-10-27,92.94000244140625,3390.679931640625
2020-10-28,93.41000366210938,3271.030029296875
2020-10-29,93.95999908447266,3310.110107421875
2020-10-30,94.04000091552734,3269.9599609375
2020-11-02,94.05000305175781,3310.239990234375
2020-11-03,93.55000305175781,3369.159912109375
2020-11-04,93.41000366210938,3443.43994140625
2020-11-05,92.52999877929688,3510.449951171875
2020-11-06,92.2300033569336,3509.43994140625
2020-11-09,92.7300033569336,3550.5
2020-11-10,92.75,3545.530029296875
2020-11-11,93.04000091552734,3572.659912109375
2020-11-12,92.95999908447266,3537.010009765625
2020-11-13,92.76000213623047,3585.14990234375
2020-11-16,92.56999969482422,3626.909912109375
2020-11-17,92.41999816894531,3609.530029296875
2020-11-18,92.31999969482422,3567.7900390625
2020-11-19,92.29000091552734,3581.8701171875
2020-11-20,92.38999938964844,3557.5400390625
2020-11-23,92.51000213623047,3577.590087890625
2020-11-24,92.2300033569336,3635.409912109375
2020-11-25,91.98999786376953,3629.64990234375
2020-11-27,91.79000091552734,3638.35009765625
2020-11-30,91.87000274658203,3621.6298828125
2020-12-01,91.30999755859375,3662.449951171875
