datetime,open,high,low,close,volume,res
1974-12-17 23:00:00,4.48,4.48,4.48,4.48,0,1d
1974-12-18 23:00:00,4.575,4.575,4.575,4.575,0,1d
1974-12-19 23:00:00,4.47,4.47,4.47,4.47,0,1d
1974-12-22 23:00:00,4.59,4.59,4.59,4.59,0,1d
1974-12-23 23:00:00,4.644,4.644,4.644,4.644,0,1d
1974-12-25 23:00:00,4.815,4.815,4.815,4.815,0,1d
1974-12-26 23:00:00,4.82,4.82,4.82,4.82,0,1d
1974-12-29 23:00:00,4.57,4.57,4.57,4.57,0,1d
1974-12-30 23:00:00,4.37,4.37,4.37,4.37,0,1d
1975-01-01 23:00:00,4.27,4.27,4.27,4.27,0,1d
1975-01-02 23:00:00,4.36,4.36,4.36,4.36,0,1d
1975-01-05 23:00:00,4.05,4.05,4.05,4.05,0,1d
1975-01-06 23:00:00,4.22,4.22,4.22,4.22,0,1d
1975-01-07 23:00:00,4.21,4.21,4.21,4.21,0,1d
1975-01-08 23:00:00,4.19,4.19,4.19,4.19,0,1d
1975-01-09 23:00:00,4.185,4.185,4.185,4.185,0,1d
1975-01-12 23:00:00,4.35,4.35,4.35,4.35,0,1d
1975-01-13 23:00:00,4.305,4.305,4.305,4.305,0,1d
1975-01-14 23:00:00,4.43,4.43,4.43,4.43,0,1d
1975-01-15 23:00:00,4.205,4.205,4.205,4.205,0,1d
1975-01-16 23:00:00,4.07,4.07,4.07,4.07,0,1d
1975-01-19 23:00:00,3.97,3.97,3.97,3.97,0,1d
1975-01-20 23:00:00,4.04,4.04,4.04,4.04,0,1d
1975-01-21 23:00:00,3.945,3.945,3.945,3.945,0,1d
1975-01-22 23:00:00,4.05,4.05,4.05,4.05,0,1d
1975-01-23 23:00:00,4.25,4.25,4.25,4.25,0,1d
1975-01-26 23:00:00,4.32,4.32,4.32,4.32,0,1d
1975-01-27 23:00:00,4.22,4.22,4.22,4.22,0,1d
1975-01-28 23:00:00,4.25,4.25,4.25,4.25,0,1d
1975-01-29 23:00:00,4.25,4.25,4.25,4.25,0,1d
1975-01-30 23:00:00,4.095,4.095,4.095,4.095,0,1d
1975-02-02 23:00:00,4.15,4.15,4.15,4.15,0,1d
1975-02-03 23:00:00,4.08,4.08,4.08,4.08,0,1d
1975-02-04 23:00:00,4.13,4.13,4.13,4.13,0,1d
1975-02-05 23:00:00,4.11,4.11,4.11,4.11,0,1d
1975-02-06 23:00:00,4.224,4.224,4.224,4.224,0,1d
1975-02-09 23:00:00,4.285,4.285,4.285,4.285,0,1d
1975-02-10 23:00:00,4.27,4.27,4.27,4.27,0,1d
1975-02-11 23:00:00,4.39,4.39,4.39,4.39,0,1d
1975-02-12 23:00:00,4.47,4.47,4.47,4.47,0,1d
1975-02-13 23:00:00,4.49,4.49,4.49,4.49,0,1d
1975-02-17 23:00:00,4.445,4.445,4.445,4.445,0,1d
1975-02-18 23:00:00,4.57,4.57,4.57,4.57,0,1d
1975-02-19 23:00:00,4.57,4.57,4.57,4.57,0,1d
1975-02-20 23:00:00,4.575,4.575,4.575,4.575,0,1d
1975-02-23 22:00:00,4.59,4.59,4.59,4.59,0,1d
1975-02-24 22:00:00,4.47,4.47,4.47,4.47,0,1d
1975-02-25 22:00:00,4.395,4.395,4.395,4.395,0,1d
1975-02-26 22:00:00,4.4,4.4,4.4,4.4,0,1d
1975-02-27 22:00:00,4.4,4.4,4.4,4.4,0,1d
1975-03-02 22:00:00,4.4,4.4,4.4,4.4,0,1d
1975-03-03 22:00:00,4.375,4.375,4.375,4.375,0,1d
1975-03-04 22:00:00,4.25,4.25,4.25,4.25,0,1d
1975-03-05 22:00:00,4.325,4.325,4.325,4.325,0,1d
1975-03-06 22:00:00,4.245,4.245,4.245,4.245,0,1d
1975-03-09 22:00:00,4.335,4.335,4.335,4.335,0,1d
1975-03-10 22:00:00,4.45,4.45,4.45,4.45,0,1d
1975-03-11 22:00:00,4.43,4.43,4.43,4.43,0,1d
1975-03-12 22:00:00,4.53,4.53,4.53,4.53,0,1d
1975-03-13 22:00:00,4.572,4.572,4.572,4.572,0,1d
1975-03-16 22:00:00,4.425,4.425,4.425,4.425,0,1d
1975-03-17 22:00:00,4.42,4.42,4.42,4.42,0,1d
1975-03-18 22:00:00,4.325,4.325,4.325,4.325,0,1d
1975-03-19 22:00:00,4.3,4.3,4.3,4.3,0,1d
1975-03-20 22:00:00,4.25,4.25,4.25,4.25,0,1d
1975-03-23 22:00:00,4.215,4.215,4.215,4.215,0,1d
1975-03-24 22:00:00,4.21,4.21,4.21,4.21,0,1d
1975-03-25 22:00:00,4.23,4.23,4.23,4.23,0,1d
1975-03-26 22:00:00,4.22,4.22,4.22,4.22,0,1d
1975-03-30 22:00:00,4.235,4.235,4.235,4.235,0,1d
1975-03-31 22:00:00,4.275,4.275,4.275,4.275,0,1d
1975-04-01 22:00:00,4.225,4.225,4.225,4.225,0,1d
1975-04-02 22:00:00,4.16,4.16,4.16,4.16,0,1d
1975-04-03 22:00:00,4.09,4.09,4.09,4.09,0,1d
1975-04-06 22:00:00,4.05,4.05,4.05,4.05,0,1d
1975-04-07 22:00:00,4.135,4.135,4.135,4.135,0,1d
1975-04-08 22:00:00,4.095,4.095,4.095,4.095,0,1d
1975-04-09 22:00:00,4.14,4.14,4.14,4.14,0,1d
1975-04-10 22:00:00,4.11,4.11,4.11,4.11,0,1d
1975-04-13 22:00:00,4.045,4.045,4.045,4.045,0,1d
1975-04-14 22:00:00,4.05,4.05,4.05,4.05,0,1d
1975-04-15 22:00:00,4.13,4.13,4.13,4.13,0,1d
1975-04-16 22:00:00,4.23,4.23,4.23,4.23,0,1d
1975-04-17 22:00:00,4.355,4.355,4.355,4.355,0,1d
1975-04-20 22:00:00,4.245,4.245,4.245,4.245,0,1d
1975-04-21 22:00:00,4.28,4.28,4.28,4.28,0,1d
1975-04-22 22:00:00,4.28,4.28,4.28,4.28,0,1d
1975-04-23 22:00:00,4.287,4.287,4.287,4.287,0,1d
1975-04-24 22:00:00,4.33,4.33,4.33,4.33,0,1d
1975-04-27 22:00:00,4.34,4.34,4.34,4.34,0,1d
1975-04-28 22:00:00,4.41,4.41,4.41,4.41,0,1d
1975-04-29 22:00:00,4.34,4.34,4.34,4.34,0,1d
1975-04-30 22:00:00,4.3,4.3,4.3,4.3,0,1d
1975-05-01 22:00:00,4.32,4.32,4.32,4.32,0,1d
1975-05-04 22:00:00,4.3,4.3,4.3,4.3,0,1d
1975-05-05 22:00:00,4.42,4.42,4.42,4.42,0,1d
1975-05-06 22:00:00,4.5,4.5,4.5,4.5,0,1d
1975-05-07 22:00:00,4.475,4.475,4.475,4.475,0,1d
1975-05-08 22:00:00,4.5,4.5,4.5,4.5,0,1d
1975-05-11 22:00:00,4.56,4.56,4.56,4.56,0,1d
